,TgondiiGT1,TgondiiME49,Pfalciparum3D7,PbergheiANKA,PvivaxSal1,ChominisTU502_2012,CparvumIowaII,EhistolyticaHM1IMSS-A,LmajorSD75,TcruziCLBrener,TbruceiLister427,VbrassicaformisCCMP3155,BbovisT2Bo,gf_no_ortho_NfowleriATCC30863
PPYRDC,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,not in model
AKGDHe2rc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,lethal
2HPMBQMTm,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
HISt2r,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,lethal,lethal,not in model,not in model
CYO1b,lethal,lethal,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,lethal,lethal
ADNK1m,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
EX_gthox_protein_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
MM2c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
ACOADAGAT1601819Z18111Z,lethal,lethal,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
TMPt6,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
IDL_HSDEGnhs,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
ASR,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DASYN181,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
CDPDAGS18111Z160,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,not in model
NTP8,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,lethal,not in model
FACOALPREPH,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
OXCDC,not in model,not in model,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
GCCa,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
ORNTA_1,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,lethal
r2032,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,not in model
ACOAO9pc,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
2DHPFALDL,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
LYSARGLEUt,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
NTP4,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,lethal,not in model
CHOLD2,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
EX_pgp140_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
FASm240,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
LYSVALPHEt,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
PLDAGAT1601819Z1819Z2,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
HXAND,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
ISTNTabc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
FA100ACPHi,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ABUTD,lethal,lethal,lethal,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
G3PAT180_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PBALm,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
2agpg141t,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
MOADSUx,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,nonlethal,lethal,nonlethal
3HAACOAT80,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_3ump_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
EX_pi_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
CHOPT_MYRS_DHA_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
3HAD100,lethal,lethal,lethal,lethal,lethal,,,lethal,not in model,,not in model,lethal,not in model,not in model
C100SN,lethal,lethal,lethal,not in model,not in model,,,lethal,lethal,,lethal,lethal,lethal,lethal
ACGSm,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DKGLCNR1,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
GLCOASYNTc,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,lethal,lethal
EX_12dgr180_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PAPSPHENST,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
PSD180,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,lethal
1AGPEAT18111Z1829Z12Z,lethal,lethal,lethal,lethal,lethal,,,lethal,not in model,,lethal,not in model,not in model,not in model
BDH,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,lethal,lethal,not in model,lethal
CITCIb,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
PLPSD1819Z1819Z,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
ANTIMt1,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ALDD6,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
MMSAD3m,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
3HAD121,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
3HAD81_m,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_pa161_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
THRGLNexR,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
S2FE2ST,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,lethal
METMETILEt,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,lethal,not in model,lethal,not in model
HISabc,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,lethal,lethal,not in model,lethal
FA181ACPH,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
C180SN,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,not in model,lethal,not in model,lethal
MGDGD4DS1829Z12Z1634Z7Z10Zc,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,lethal,not in model
HGPHT,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
CYSTS,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
ARTPLM1,lethal,lethal,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_o2s_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
ANS2,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
UREA2t2,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
CAATPS_1,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
5AOPtmt,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_26dmani_e,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
ASAD,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
FASm2201,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
TPI,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
EX_coa_e,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
PLDAGAT1819Z18111Z18111Z3,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
EAR160x,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,not in model,lethal,not in model,lethal
GLUDym,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
OCT,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
PSSA181,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
ARBTNabcppc,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,lethal,lethal
GLYVESSEC_1,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
ACOAD1f,nonlethal,nonlethal,lethal,lethal,lethal,,,lethal,nonlethal,,nonlethal,nonlethal,not in model,nonlethal
MLTG4,lethal,lethal,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,lethal
EX_tyr__L_e,lethal,lethal,lethal,lethal,lethal,,,lethal,not in model,,lethal,lethal,not in model,lethal
EX_s7p_e,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
SPRMti,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
CYTD,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,not in model,not in model,not in model,lethal
MGDGD7DS1819Z1617Zc,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,not in model
ZN2t4,not in model,not in model,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
FACOAE60,not in model,not in model,lethal,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
GLYDHD,not in model,not in model,not in model,not in model,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
PTHPS2,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_argarglys_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
