,PfalciparumCD01,PfalciparumDd2,EhistolyticaHM1IMSS-A,TgondiiGAB2-2007-GAL-DOM2,Tgondiip89,EhellemATCC50504,CsuisWienI
drib_e,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
dgdg1819Z1637Z10Z13Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
cys__L_c,produced,produced,produced,produced,produced,produced,produced
malACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
pac_c,produced,produced,not present in model,produced,produced,not present in model,produced
sertrna_sec_c,produced,produced,produced,produced,produced,produced,produced
acoa_c,not present in model,not present in model,not present in model,produced,produced,produced,produced
apocytc_m,neither,neither,not present in model,neither,neither,not present in model,neither
adpglc_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
23ddhb_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
cdpdhdec9eg_c,produced,produced,produced,produced,produced,not present in model,produced
b2coa_m,produced,produced,not present in model,produced,produced,not present in model,produced
s17bp_c,produced,produced,produced,produced,produced,produced,produced
2mhob_c,not present in model,not present in model,not present in model,not present in model,not present in model,produced,not present in model
oxadpcoa_c,neither,neither,not present in model,produced,produced,neither,produced
btnCCP_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
gicolipaAR1_c,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
mmeroacidcyc2AMP_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
mnt_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
f420_2h2_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
3htdcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
mi13456p_c,produced,produced,produced,produced,produced,not present in model,produced
etha_c,produced,produced,produced,neither,neither,not present in model,produced
13dampp_c,produced,produced,produced,produced,produced,produced,produced
mmeroacidcyc2ACP_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
tsul_m,produced,produced,not present in model,produced,produced,not present in model,produced
tag1819Z18111Z1845Z9Z12Z15Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
lald__D_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
gal_c,neither,neither,produced,produced,produced,neither,produced
pgp120_e,neither,neither,neither,produced,produced,neither,produced
fa5_c,produced,produced,produced,produced,produced,neither,produced
mgdg1819Z1637Z10Z13Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
3mob_c,produced,produced,produced,produced,produced,neither,produced
arbtn_fe3_c,not present in model,not present in model,not present in model,neither,not present in model,neither,neither
maltpt_e,not present in model,not present in model,not present in model,not present in model,produced,not present in model,produced
malt6p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
